timestamp_local,elapsed_seconds,hr_bpm
2026-05-13 23:23:04.656,0.519777,54
2026-05-13 23:23:06.095,1.959123,54
2026-05-13 23:23:06.574,2.438718,54
2026-05-13 23:23:07.535,3.399102,53
2026-05-13 23:23:08.975,4.838774,53
2026-05-13 23:23:10.417,6.281214,52
2026-05-13 23:23:10.535,6.398791,52
2026-05-13 23:23:11.555,7.418928,52
2026-05-13 23:23:12.575,8.438740,52
2026-05-13 23:23:13.595,9.458746,52
2026-05-13 23:23:14.615,10.478755,52
2026-05-13 23:23:15.605,11.469106,52
2026-05-13 23:23:16.535,12.398795,52
2026-05-13 23:23:17.556,13.419972,52
2026-05-13 23:23:18.547,14.410861,52
2026-05-13 23:23:19.535,15.398799,52
2026-05-13 23:23:20.556,16.420047,52
2026-05-13 23:23:21.575,17.438761,52
2026-05-13 23:23:22.535,18.398791,52
2026-05-13 23:23:23.555,19.419000,52
2026-05-13 23:23:24.547,20.410870,52
2026-05-13 23:23:25.535,21.399413,53
2026-05-13 23:23:26.556,22.420179,53
2026-05-13 23:23:27.547,23.410893,53
2026-05-13 23:23:28.565,24.428856,53
2026-05-13 23:23:29.615,25.479182,53
2026-05-13 23:23:30.545,26.408781,53
2026-05-13 23:23:31.535,27.398814,53
2026-05-13 23:23:32.615,28.478896,53
2026-05-13 23:23:33.545,29.408847,53
2026-05-13 23:23:34.565,30.428806,53
2026-05-13 23:23:35.556,31.420027,53
2026-05-13 23:23:36.575,32.438929,53
2026-05-13 23:23:37.535,33.398778,53
2026-05-13 23:23:38.555,34.419672,53
2026-05-13 23:23:39.546,35.410564,53
2026-05-13 23:23:40.535,36.398896,53
2026-05-13 23:23:41.614,37.478290,53
2026-05-13 23:23:42.546,38.410248,53
2026-05-13 23:23:43.564,39.428339,53
2026-05-13 23:23:44.584,40.448093,53
2026-05-13 23:23:45.544,41.407848,53
2026-05-13 23:23:46.534,42.397755,53
2026-05-13 23:23:47.583,43.447516,53
2026-05-13 23:23:48.603,44.467667,53
2026-05-13 23:23:49.533,45.397556,53
2026-05-13 23:23:50.555,46.418727,53
2026-05-13 23:23:51.573,47.437417,53
2026-05-13 23:23:52.534,48.397895,53
2026-05-13 23:23:53.554,49.418462,53
2026-05-13 23:23:54.545,50.409412,53
2026-05-13 23:23:55.533,51.397529,53
2026-05-13 23:23:56.554,52.418431,53
2026-05-13 23:23:57.545,53.409318,53
2026-05-13 23:23:58.563,54.427178,53
2026-05-13 23:23:59.583,55.447394,52
2026-05-13 23:24:00.545,56.409230,52
2026-05-13 23:24:01.533,57.397422,52
2026-05-13 23:24:02.554,58.418247,52
2026-05-13 23:24:03.603,59.467001,52
2026-05-13 23:24:04.533,60.397034,52
2026-05-13 23:24:05.554,61.418452,53
2026-05-13 23:24:06.603,62.467272,53
2026-05-13 23:24:07.533,63.396919,53
2026-05-13 23:24:08.554,64.418530,54
2026-05-13 23:24:09.573,65.436858,54
2026-05-13 23:24:10.533,66.397242,54
2026-05-13 23:24:11.553,67.417518,53
2026-05-13 23:24:12.543,68.407015,53
2026-05-13 23:24:13.563,69.426847,53
2026-05-13 23:24:14.583,70.446980,53
2026-05-13 23:24:15.543,71.407657,54
2026-05-13 23:24:16.533,72.396771,54
2026-05-13 23:24:17.553,73.416814,54
2026-05-13 23:24:18.543,74.406741,54
2026-05-13 23:24:19.533,75.396763,54
2026-05-13 23:24:20.583,76.447086,54
2026-05-13 23:24:21.573,77.436815,54
2026-05-13 23:24:22.533,78.396821,54
2026-05-13 23:24:23.554,79.418276,55
2026-05-13 23:24:24.543,80.407306,55
2026-05-13 23:24:25.533,81.397167,56
2026-05-13 23:24:26.554,82.418097,56
2026-05-13 23:24:27.545,83.409199,57
2026-05-13 23:24:28.563,84.427086,62
2026-05-13 23:24:29.583,85.447590,64
2026-05-13 23:24:30.545,86.409209,68
2026-05-13 23:24:31.533,87.397086,70
2026-05-13 23:24:32.583,88.447120,75
2026-05-13 23:24:33.543,89.406964,78
2026-05-13 23:24:34.533,90.397054,79
2026-05-13 23:24:35.554,91.418093,82
2026-05-13 23:24:36.603,92.467085,84
2026-05-13 23:24:37.533,93.397127,87
2026-05-13 23:24:38.554,94.418196,90
2026-05-13 23:24:39.543,95.407062,91
2026-05-13 23:24:40.533,96.397617,94
2026-05-13 23:24:41.553,97.417482,96
2026-05-13 23:24:42.543,98.407226,98
2026-05-13 23:24:43.563,99.427479,99
2026-05-13 23:24:44.613,100.477168,100
2026-05-13 23:24:45.573,101.437110,102
2026-05-13 23:24:46.533,102.396818,102
2026-05-13 23:24:47.554,103.418343,103
2026-05-13 23:24:48.543,104.407007,103
2026-05-13 23:24:49.533,105.397374,103
2026-05-13 23:24:50.554,106.418397,104
2026-05-13 23:24:51.573,107.437015,104
2026-05-13 23:24:52.533,108.397597,105
2026-05-13 23:24:53.582,109.446513,105
2026-05-13 23:24:54.573,110.437150,106
2026-05-13 23:24:55.533,111.396963,106
2026-05-13 23:24:56.613,112.477246,107
2026-05-13 23:24:57.543,113.407177,107
2026-05-13 23:24:58.563,114.426779,107
2026-05-13 23:24:59.583,115.446912,107
2026-05-13 23:25:00.545,116.409230,106
2026-05-13 23:25:01.564,117.427926,106
2026-05-13 23:25:02.554,118.418118,106
2026-05-13 23:25:03.543,119.407276,107
2026-05-13 23:25:04.533,120.396980,108
2026-05-13 23:25:05.554,121.418046,108
2026-05-13 23:25:06.574,122.438619,109
2026-05-13 23:25:07.533,123.397273,110
2026-05-13 23:25:08.554,124.418204,110
2026-05-13 23:25:09.545,125.409276,111
2026-05-13 23:25:10.533,126.397094,111
2026-05-13 23:25:11.554,127.418666,112
2026-05-13 23:25:12.545,128.409117,112
2026-05-13 23:25:13.563,129.426922,112
2026-05-13 23:25:14.583,130.447225,113
2026-05-13 23:25:15.543,131.407419,113
2026-05-13 23:25:16.533,132.397006,113
2026-05-13 23:25:17.583,133.446978,113
2026-05-13 23:25:18.543,134.407410,113
2026-05-13 23:25:19.533,135.396907,113
2026-05-13 23:25:20.553,136.417643,112
2026-05-13 23:25:21.573,137.437119,112
2026-05-13 23:25:22.533,138.397697,110
2026-05-13 23:25:23.554,139.418586,108
2026-05-13 23:25:24.545,140.409468,105
2026-05-13 23:25:25.533,141.397304,103
2026-05-13 23:25:26.554,142.418585,99
2026-05-13 23:25:27.573,143.437274,98
2026-05-13 23:25:28.563,144.427279,95
2026-05-13 23:25:29.583,145.447181,93
2026-05-13 23:25:30.545,146.409386,91
2026-05-13 23:25:31.533,147.397307,90
2026-05-13 23:25:32.613,148.477087,90
2026-05-13 23:25:33.543,149.407259,89
2026-05-13 23:25:34.533,150.397207,87
2026-05-13 23:25:35.554,151.417980,87
2026-05-13 23:25:36.573,152.437391,85
2026-05-13 23:25:37.533,153.397065,85
2026-05-13 23:25:38.553,154.417722,84
2026-05-13 23:25:39.573,155.437412,83
2026-05-13 23:25:40.533,156.397266,83
2026-05-13 23:25:41.643,157.507181,83
2026-05-13 23:25:42.543,158.407510,82
2026-05-13 23:25:43.593,159.457388,82
2026-05-13 23:25:44.613,160.477177,82
2026-05-13 23:25:45.543,161.407262,82
2026-05-13 23:25:46.533,162.397228,83
2026-05-13 23:25:47.554,163.418681,82
2026-05-13 23:25:48.543,164.407463,80
2026-05-13 23:25:49.563,165.427460,79
2026-05-13 23:25:50.555,166.418733,77
2026-05-13 23:25:51.573,167.437444,76
2026-05-13 23:25:52.534,168.398044,75
2026-05-13 23:25:53.554,169.418552,74
2026-05-13 23:25:54.543,170.407172,74
2026-05-13 23:25:55.533,171.396872,74
2026-05-13 23:25:56.554,172.418338,74
2026-05-13 23:25:57.543,173.407533,74
2026-05-13 23:25:58.563,174.427479,75
2026-05-13 23:25:59.583,175.447170,75
2026-05-13 23:26:00.573,176.437556,74
2026-05-13 23:26:01.563,177.427156,74
2026-05-13 23:26:02.554,178.418655,73
2026-05-13 23:26:03.544,179.407848,72
2026-05-13 23:26:04.533,180.397229,72
2026-05-13 23:26:05.554,181.418419,72
2026-05-13 23:26:06.574,182.437934,73
2026-05-13 23:26:07.533,183.397459,74
2026-05-13 23:26:08.555,184.418776,73
2026-05-13 23:26:09.545,185.409602,72
2026-05-13 23:26:10.533,186.397387,72
2026-05-13 23:26:11.554,187.418155,73
2026-05-13 23:26:12.545,188.409692,72
2026-05-13 23:26:13.563,189.427578,71
2026-05-13 23:26:14.613,190.477301,71
2026-05-13 23:26:15.545,191.409467,71
2026-05-13 23:26:16.563,192.427633,68
2026-05-13 23:26:17.613,193.477610,67
2026-05-13 23:26:18.544,194.407880,67
2026-05-13 23:26:19.533,195.397647,68
2026-05-13 23:26:20.583,196.447352,68
2026-05-13 23:26:21.603,197.467633,67
2026-05-13 23:26:22.533,198.397325,67
2026-05-13 23:26:23.583,199.447613,68
2026-05-13 23:26:24.604,200.467775,67
2026-05-13 23:26:25.533,201.397400,66
2026-05-13 23:26:26.553,202.417434,66
2026-05-13 23:26:27.574,203.437830,65
2026-05-13 23:26:28.593,204.457708,64
2026-05-13 23:26:29.553,205.417336,64
2026-05-13 23:26:30.604,206.467889,63
2026-05-13 23:26:31.533,207.397508,63
2026-05-13 23:26:32.583,208.447433,63
2026-05-13 23:26:33.573,209.437591,62
2026-05-13 23:26:34.563,210.427584,62
2026-05-13 23:26:35.583,211.447330,62
2026-05-13 23:26:36.573,212.437476,62
2026-05-13 23:26:37.593,213.457637,61
2026-05-13 23:26:38.554,214.417890,61
2026-05-13 23:26:39.573,215.437429,61
2026-05-13 23:26:40.564,216.427748,60
2026-05-13 23:26:41.554,217.418617,60
2026-05-13 23:26:42.546,218.409773,59
2026-05-13 23:26:43.564,219.428003,60
2026-05-13 23:26:44.613,220.477460,61